Date,Adj Close,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2023-01-02,3090.201171875,3261.449951171875,3266.85009765625,3235.199951171875,3261.0,709547
2023-01-03,3137.48095703125,3311.35009765625,3320.0,3245.300048828125,3252.0,1245178
2023-01-04,3140.607666015625,3314.64990234375,3327.35009765625,3286.199951171875,3306.699951171875,1231668
2023-01-05,3137.244140625,3311.10009765625,3337.300048828125,3281.949951171875,3330.199951171875,1826057
2023-01-06,3042.9208984375,3211.550048828125,3301.550048828125,3200.0,3300.0,2488376
2023-01-09,3145.629150390625,3319.949951171875,3327.0,3221.14990234375,3229.0,2885060
2023-01-10,3113.840576171875,3286.39990234375,3298.0,3230.10009765625,3285.0,3864655
2023-01-11,3153.919921875,3328.699951171875,3349.5,3271.14990234375,3290.10009765625,2720512
2023-01-12,3159.2734375,3334.35009765625,3350.0,3315.550048828125,3329.0,2250391
2023-01-13,3197.36279296875,3374.550048828125,3379.0,3305.0,3342.89990234375,1742837
2023-01-16,3166.49560546875,3334.050048828125,3353.0,3298.050048828125,3317.0,1843607
2023-01-17,3208.6171875,3378.39990234375,3381.800048828125,3321.0,3330.0,1688475
2023-01-18,3219.634033203125,3390.0,3408.949951171875,3372.25,3380.0,2421189
2023-01-19,3203.583251953125,3373.10009765625,3387.0,3361.0,3380.0,1585044
2023-01-20,3194.0859375,3363.10009765625,3394.64990234375,3355.60009765625,3365.0,1529349
2023-01-23,3243.2822265625,3414.89990234375,3419.0,3355.60009765625,3388.0,1067916
2023-01-24,3263.607177734375,3436.300048828125,3451.949951171875,3417.300048828125,3425.0,1387863
2023-01-25,3257.386474609375,3429.75,3435.0,3405.0,3425.300048828125,874110
2023-01-27,3239.626220703125,3411.050048828125,3446.0,3382.300048828125,3426.0,1785879
2023-01-30,3261.090576171875,3433.64990234375,3458.449951171875,3385.550048828125,3420.0,1953798
2023-01-31,3189.906982421875,3358.699951171875,3449.0,3351.0,3449.0,2820375
2023-02-01,3237.06201171875,3408.35009765625,3419.0,3355.0,3363.0,2205161
2023-02-02,3286.49609375,3460.39990234375,3469.0,3420.10009765625,3427.0,1813847
2023-02-03,3307.29541015625,3482.300048828125,3504.0,3452.89990234375,3504.0,1804469
2023-02-06,3286.068603515625,3459.949951171875,3473.14990234375,3436.85009765625,3473.14990234375,1138714
2023-02-07,3298.03515625,3472.550048828125,3493.0,3461.39990234375,3468.89990234375,1455647
2023-02-08,3343.19580078125,3520.10009765625,3539.89990234375,3478.050048828125,3478.050048828125,1986946
2023-02-09,3362.903076171875,3540.85009765625,3547.60009765625,3505.300048828125,3515.0,1655427
2023-02-10,3359.76904296875,3537.550048828125,3542.35009765625,3508.14990234375,3520.0,1187821
2023-02-13,3307.390625,3482.39990234375,3549.0,3473.39990234375,3549.0,1087939
2023-02-14,3324.200927734375,3500.10009765625,3524.85009765625,3495.0,3505.0,1579818
2023-02-15,3343.71826171875,3520.64990234375,3526.0,3460.14990234375,3487.0,1429449
2023-02-16,3379.238525390625,3558.050048828125,3575.0,3527.0,3527.199951171875,1618931
2023-02-17,3325.197998046875,3501.14990234375,3538.89990234375,3490.0,3526.14990234375,1061369
2023-02-20,3312.0439453125,3487.300048828125,3522.0,3475.050048828125,3502.0,1296082
2023-02-21,3277.568359375,3451.0,3508.89990234375,3444.75,3494.0,1139541
2023-02-22,3230.603759765625,3401.550048828125,3447.0,3395.0,3414.949951171875,1218430
2023-02-23,3242.23779296875,3413.800048828125,3452.39990234375,3408.0,3421.0,1441570
2023-02-24,3229.558837890625,3400.449951171875,3433.949951171875,3382.300048828125,3422.5,977592
2023-02-27,3164.40673828125,3331.85009765625,3390.0,3316.0,3390.0,1128022
2023-02-28,3146.361572265625,3312.85009765625,3392.0,3299.89990234375,3328.5,4116217
2023-03-01,3215.55029296875,3385.699951171875,3389.0,3315.0,3323.0,1669307
2023-03-02,3154.529052734375,3321.449951171875,3369.89990234375,3318.0,3361.0,1556538
